,sugar index,bake temp,chill time,calories,grams baking soda,bake time,quality,weight,chocolate,oats,peanut_butter,raisins,nuts,butter type_melted
31,13.9,460.0,68.0,179.0,0.5,10.4,7.702684122868514,12.6,1,0,0,0,0,1
32,14.2,420.0,62.0,204.0,0.59,9.4,7.9534434990760765,14.8,0,0,0,1,0,1
33,2.7,380.0,39.0,187.0,0.5,10.8,7.973994845552641,12.0,0,0,0,1,0,1
34,1.6,320.0,23.0,128.0,0.47,11.7,8.037945417643193,13.8,0,0,0,1,0,1
35,1.2,470.0,54.0,134.0,0.97,9.8,8.240506506201422,14.2,1,1,0,0,0,1
36,2.1,340.0,30.0,177.0,0.4,11.9,9.038195005595865,14.6,1,0,0,0,0,1
37,1.6,340.0,29.0,118.0,0.5,11.0,8.191436331247642,14.6,1,0,0,0,0,1
38,1.9,400.0,9.0,121.0,0.48,9.9,6.975819943282751,17.6,0,0,0,1,0,1
39,4.6,570.0,59.0,144.0,0.44,9.4,7.695625389975925,14.0,1,1,0,0,0,1
40,1.6,430.0,63.0,149.0,0.52,10.8,8.211427166396533,13.8,1,1,0,0,0,1
41,1.3,460.0,6.0,29.0,0.63,10.4,7.014641870548127,12.0,1,0,0,0,0,1
42,1.3,550.0,32.0,146.0,0.39,10.5,7.470174072770271,16.6,1,1,0,0,0,1
43,2.8,360.00000000000006,19.0,113.0,0.29,10.2,7.813023304187603,15.2,0,0,0,1,0,1
44,11.2,709.9999999999999,44.0,136.0,0.88,9.2,7.334446549348695,13.6,0,0,0,1,0,1
45,7.6,470.0,45.0,232.0,0.62,10.0,7.356564064413457,12.4,0,0,0,1,0,1
46,4.1,730.0,36.0,202.0,0.67,9.5,6.985705764526211,13.4,1,0,0,0,0,1
47,2.6,370.00000000000006,33.0,125.0,0.49,11.1,8.254262639621293,15.0,1,1,0,0,0,1
48,14.8,540.0000000000001,32.0,126.0,0.5,9.7,7.2946210699430125,16.6,1,0,0,0,0,1
49,4.7,590.0,31.0,118.0,0.39,9.0,7.607035401461038,13.6,1,1,0,0,0,1
50,10.2,410.0,58.0,160.0,0.45,8.6,7.015130809167818,14.6,0,0,0,1,0,1
51,8.3,370.00000000000006,33.0,216.0,0.64,9.7,7.3270263284106845,16.2,1,0,0,0,1,1
52,1.1,310.0,15.0,151.0,0.41,10.6,7.8915208371306305,18.2,1,0,0,0,0,1
53,4.8,370.00000000000006,37.0,171.0,0.44,9.0,7.326152261128519,15.8,1,1,0,0,0,1
54,16.85,540.0000000000001,23.0,135.0,0.38,9.0,7.862438625686295,15.6,0,0,0,1,0,1
55,2.0,450.0,31.0,101.0,0.55,11.4,7.9688728334325205,14.8,1,0,0,0,0,1
56,15.55,370.00000000000006,61.0,171.0,0.35,8.8,7.654181083543269,14.0,1,0,0,0,0,1
57,1.5,490.0,10.0,97.0,0.44,10.7,7.60593896590415,10.0,0,0,0,1,0,1
58,1.15,330.0,18.0,96.0,0.32,12.4,8.2008301940039,16.6,0,0,0,1,0,1
59,4.5,300.0,40.0,114.0,0.54,12.4,8.608864783067736,15.8,1,0,0,0,1,1
60,6.8,360.00000000000006,64.0,245.0,0.36,9.3,7.859003858987146,12.4,1,0,0,0,0,1
61,1.5,470.0,44.0,167.0,0.44,10.5,7.876049395950907,13.6,1,0,0,0,0,1
62,2.0,290.0,13.0,151.0,0.33,10.4,6.767011768579511,15.2,0,0,0,1,1,1
63,1.7,320.0,30.0,130.0,0.41,11.2,8.177786977625578,12.4,0,0,0,1,0,1
64,5.4,440.00000000000006,31.0,122.0,0.5,11.1,8.026015867028802,14.8,1,0,0,0,1,1
65,1.3,450.0,16.0,128.0,0.6,10.0,7.3380945003391975,13.2,1,0,0,0,0,1
66,14.2,530.0,19.0,94.0,0.5,9.6,8.167113474550145,13.8,1,0,0,0,0,1
67,7.1,500.0,67.0,210.0,0.34,9.5,7.17967909604976,12.6,1,0,0,0,0,1
68,1.2,610.0,27.0,117.0,0.34,9.4,6.902393176249124,16.0,1,0,0,0,0,1
69,4.45,440.00000000000006,33.0,130.0,0.42,12.2,8.338972647899645,16.6,1,0,0,0,0,1
70,5.4,480.0,54.0,164.0,0.44,10.8,7.932343038901937,12.8,1,1,0,0,0,1
71,3.0,300.0,30.0,96.0,0.39,12.3,8.576380809490596,14.2,1,0,0,0,0,1
72,3.6,570.0,13.0,85.0,0.48,9.5,7.1048866376808935,13.8,1,0,0,0,0,1
73,1.6,500.0,17.0,131.0,0.34,9.4,6.8210498979966125,17.8,0,0,0,1,0,1
74,1.0,390.0,46.0,131.0,0.51,10.5,8.049185815588432,18.0,1,1,0,0,0,1
75,1.8,530.0,6.0,121.0,0.7,11.4,7.144566215033879,13.8,1,0,0,0,0,1
76,1.0,440.00000000000006,29.0,118.0,0.36,10.9,7.725162588128927,16.4,1,0,0,0,0,1
77,1.3,460.0,27.0,142.0,0.59,10.2,7.438080173986817,15.6,1,0,0,0,0,1
78,7.7,490.0,53.0,217.0,0.4,9.3,7.462599973329287,13.2,0,0,0,1,0,1
79,1.4,470.0,30.0,114.0,0.42,10.8,8.109899356543655,13.4,1,0,0,0,0,1
80,15.4,590.0,32.0,177.0,0.58,9.0,7.45250020695812,16.2,1,0,0,0,0,1
81,5.9,550.0,33.0,128.0,0.51,11.8,8.127129904094264,17.6,0,0,0,1,0,1
82,6.6,450.0,42.0,170.0,0.45,10.4,7.737383319435788,12.4,0,0,0,1,0,1
83,14.4,550.0,55.0,205.0,0.38,9.0,8.721821097309926,14.4,1,0,0,0,0,1
84,1.55,410.0,118.5,216.0,0.63,9.4,6.634243858961601,13.4,1,0,0,0,0,1
85,4.2,400.0,41.0,213.0,0.49,11.8,8.439918738891226,14.0,1,0,0,0,0,1
86,4.2,400.0,41.0,213.0,0.49,11.8,8.439918738891226,14.0,1,0,0,0,0,1
87,1.8,430.0,25.0,121.0,0.61,10.2,7.811831224289304,13.4,1,0,0,0,0,1
88,11.1,330.0,43.0,208.0,0.46,10.3,7.946208610396868,15.8,1,0,0,0,0,1
89,1.6,400.0,43.0,148.0,0.59,11.5,8.956737514594879,13.0,1,1,0,0,0,1
90,6.0,460.0,29.0,108.0,0.5,10.8,8.133943075255017,14.0,1,0,0,0,0,1
91,1.7,500.0,28.0,178.0,0.43,9.0,7.080227358411208,18.6,1,0,0,0,0,1
92,2.7,520.0,24.0,190.0,0.45,10.9,7.430216566733086,16.4,1,1,0,0,0,1
93,14.5,450.0,68.0,212.0,0.36,10.0,7.920709672293753,15.2,1,0,0,0,1,1
94,1.1,310.0,40.0,99.0,0.3,10.4,7.379388290027007,18.4,1,0,0,0,0,1
95,9.6,570.0,50.0,185.0,0.38,9.6,7.388666995117305,13.8,1,1,0,0,0,1
96,4.8,500.0,33.0,87.0,0.42,9.9,7.813318229193699,15.0,1,0,0,0,0,1
97,2.5,460.0,40.0,153.0,0.51,11.4,8.255231784019523,13.4,1,1,0,0,0,1
98,10.9,370.00000000000006,18.0,112.0,0.5,9.6,7.816462103618579,14.6,1,0,0,0,0,1
99,1.7,510.0,50.0,179.0,0.69,8.9,7.812287255086924,14.8,0,0,0,1,0,1
100,4.5,460.0,33.0,102.0,0.56,12.2,8.60685450850212,15.4,1,0,0,0,1,1
101,14.0,690.0000000000001,42.0,163.0,0.47,9.8,7.7716719369585086,13.2,1,0,0,0,0,1
102,1.8,340.0,43.0,150.0,0.69,11.0,8.898202555876983,12.8,1,1,0,0,0,1
103,9.25,340.0,73.0,142.0,0.37,11.4,8.114040429509323,17.0,1,0,0,0,0,1
104,9.05,390.0,37.0,128.0,0.34,11.3,8.373930078283536,13.8,1,0,0,0,0,1
105,7.1,400.0,35.0,162.0,0.58,9.9,7.765733567619619,12.8,1,0,0,0,0,1
106,10.2,490.0,57.0,191.0,0.4,9.3,7.527740376908895,15.2,0,0,0,1,0,1
107,1.5,490.0,39.0,184.0,0.41,9.9,7.235475533432138,13.2,0,0,0,1,0,1
108,6.3,510.0,35.0,240.0,0.54,10.0,7.643198751466528,14.6,1,1,0,0,0,1
109,15.1,300.0,34.0,153.0,0.51,12.0,8.572189833107725,14.8,1,0,0,0,1,1
110,1.0,540.0000000000001,24.0,164.0,0.51,10.5,7.640468637346463,13.8,1,1,0,0,0,1
111,11.5,490.0,44.0,157.0,0.44,9.0,7.101096000181035,14.8,1,0,0,0,1,1
112,1.6,559.9999999999999,34.0,181.0,0.46,10.0,7.297167461123643,20.0,0,1,0,1,0,1
113,7.8,490.0,57.0,202.0,0.39,9.5,7.409543928171626,13.2,1,0,0,0,0,1
114,17.85,490.0,50.0,185.0,0.42,9.6,7.852697577666538,14.4,1,0,0,0,0,1
115,14.3,450.0,45.0,213.0,0.63,9.2,7.302588078745725,15.4,0,0,0,1,0,1
116,10.3,390.0,73.0,212.0,0.49,9.5,8.134975234878242,15.8,1,0,0,0,0,1
117,10.3,390.0,73.0,212.0,0.49,9.5,8.134975234878242,15.8,1,0,0,0,0,1
118,5.7,380.0,26.0,98.0,0.59,12.5,9.137717365157116,14.4,0,0,0,1,0,1
119,2.1,490.0,21.0,153.0,0.5,9.6,7.425107811077227,16.6,1,0,0,0,0,1
120,1.3,410.0,20.0,71.0,0.74,9.9,7.7120903141135795,14.2,1,1,0,0,0,1
121,9.3,620.0,40.0,126.0,0.39,9.6,7.262952105472132,15.2,1,1,0,0,0,1
122,1.7,279.99999999999994,10.0,59.0,0.48,10.4,7.742524608281012,16.4,0,0,0,1,0,1
123,1.6,400.0,25.0,87.0,0.66,10.3,7.972584144414761,13.6,1,0,0,0,0,1
124,4.6,800.0,34.0,172.0,0.39,11.1,7.825819063822169,14.6,1,1,0,0,0,1
125,1.2,310.0,27.0,84.0,0.34,9.9,7.391864767586496,14.4,1,1,0,0,0,1
126,7.6,520.0,35.0,143.0,0.38,9.0,7.388722210599733,13.6,0,0,0,1,0,1
127,7.8,490.0,39.0,152.0,0.58,10.0,8.254903935501252,16.2,1,0,0,0,0,1
128,1.1,510.0,61.0,197.0,0.4,9.0,6.7927860485588765,11.4,1,0,0,0,1,1
129,1.4,460.0,37.0,135.0,0.57,10.2,8.106062611724294,14.4,1,1,0,0,0,1
130,1.4,460.0,34.0,185.0,0.49,10.2,7.304502214029176,19.8,0,0,1,0,0,1
131,4.3,440.00000000000006,49.0,172.0,0.74,10.8,8.00431384410032,16.2,1,0,0,0,0,1
132,17.2,360.00000000000006,49.0,219.0,0.46,9.7,7.352240334819533,16.0,1,0,0,0,0,1
133,1.0,240.0,13.0,91.0,0.37,10.1,7.034016932595142,17.0,1,1,0,0,0,1
134,6.9,460.0,50.0,173.0,0.46,9.0,7.277212071300064,13.6,0,0,0,1,0,1
135,3.2,300.0,49.0,164.0,0.79,11.7,8.604571611647332,12.6,1,0,0,0,1,1
136,12.8,420.0,57.0,184.0,0.46,9.0,7.41345597923959,15.0,0,0,0,1,0,1
137,14.2,559.9999999999999,53.0,212.5,0.46,8.9,9.870344005127896,15.2,1,0,0,0,0,1
138,14.6,430.0,47.0,168.0,0.67,8.8,8.145290331616405,14.0,1,0,0,0,0,1
139,14.6,430.0,47.0,168.0,0.67,8.8,8.145290331616405,14.0,1,0,0,0,0,1
140,8.1,260.0,14.0,71.0,0.36,11.8,8.01655863376153,18.0,0,0,0,1,1,1
141,8.1,260.0,14.0,71.0,0.36,11.8,8.01655863376153,18.0,0,0,0,1,1,1
142,0.6,420.0,11.0,71.0,0.38,10.6,6.864855506484964,17.4,1,0,0,0,0,1
143,4.8,279.99999999999994,22.0,104.0,0.45,9.2,7.4962233044298685,11.2,1,1,0,0,0,1
144,9.2,460.0,22.0,126.0,0.47,9.3,7.407775869939688,16.6,0,0,0,1,0,1
145,6.6,520.0,28.0,156.0,0.41,9.6,7.326873497933816,13.6,0,0,0,1,0,1
146,18.15,420.0,41.0,146.0,0.36,8.7,6.980010889449105,13.6,1,0,0,0,0,1
147,4.9,310.0,20.0,151.0,0.82,12.0,8.77387825348048,13.4,0,0,0,1,0,1
148,1.8,360.00000000000006,23.0,96.0,0.4,10.8,8.168508950729638,13.4,1,0,0,0,0,1
149,1.6,300.0,25.0,126.0,0.34,12.1,8.291060137768751,14.2,0,0,0,1,0,1
150,1.3,570.0,25.0,173.0,0.51,9.1,7.114263642944131,14.6,0,0,0,1,0,1
151,5.2,400.0,31.0,140.0,0.68,9.5,7.815861381687135,13.0,1,1,0,0,0,1
152,5.6,430.0,43.0,164.0,0.76,9.5,7.744975193057479,13.2,1,0,0,0,0,1
153,8.0,440.00000000000006,51.0,172.0,0.44,9.2,7.507865647029689,14.4,1,0,0,0,0,1
154,7.7,450.0,53.0,176.0,0.38,9.5,7.368667934717666,14.4,1,0,0,0,0,1
155,8.9,480.0,33.0,146.0,0.46,9.3,7.5485639492438485,16.8,1,0,0,0,0,1
156,10.7,380.0,59.0,186.0,0.55,9.5,7.795928128343854,15.4,1,0,0,0,0,1
157,17.1,500.0,44.0,138.0,0.37,8.8,7.258702777096349,13.0,1,0,0,0,0,1
158,3.1,410.0,18.0,126.0,0.42,12.0,8.298685902333002,12.8,1,0,0,0,0,1
159,4.9,350.00000000000006,36.0,109.0,0.58,12.2,8.91784133960101,15.4,0,0,0,1,0,1
160,2.1,300.0,22.0,162.0,0.68,11.9,8.012868018672869,16.6,1,0,0,0,0,1
161,7.1,540.0000000000001,41.0,224.0,0.55,10.1,7.6321397572855725,14.4,1,1,0,0,0,1
162,13.2,470.0,64.0,179.0,0.46,9.0,7.376360086105735,15.0,1,0,0,0,0,1
163,2.7,370.00000000000006,18.0,89.0,0.74,11.5,8.265547761869321,13.0,1,1,0,0,0,1
164,10.0,540.0000000000001,49.0,165.0,0.42,9.9,7.708789831454352,14.4,1,0,0,0,0,1
165,15.3,559.9999999999999,31.0,117.0,0.5,9.6,7.300961382539847,15.4,1,0,0,0,0,1
166,2.1,520.0,15.0,76.0,0.41,10.6,7.596080600257793,14.0,1,0,0,0,0,1
167,1.9,540.0000000000001,23.0,91.0,0.45,10.3,7.545459735691512,15.0,1,1,0,0,0,1
168,8.6,520.0,34.0,187.0,0.59,10.2,7.3979371378078955,19.6,0,1,0,1,0,1
169,18.8,279.99999999999994,55.0,130.0,0.35,11.6,7.671311649857708,16.8,1,0,0,0,0,1
170,12.8,530.0,48.5,229.0,0.49,9.1,8.856023066383885,14.8,1,1,0,0,0,1
171,3.8,440.00000000000006,30.0,114.0,0.4,11.0,8.320347936391332,14.8,1,0,0,0,0,1
172,6.6,400.0,38.0,141.0,0.47,9.5,7.63447671838812,12.6,0,0,0,1,0,1
173,10.7,370.00000000000006,34.0,145.0,0.32,9.7,7.568339135579188,18.4,1,0,0,0,0,1
174,1.1,370.00000000000006,20.0,71.0,0.38,11.7,8.336048073141981,14.0,1,0,0,0,0,1
175,1.5,390.0,24.0,125.0,0.64,12.2,8.312061476613405,14.0,0,0,0,1,0,1
176,1.4,470.0,23.0,107.0,0.65,10.4,7.856006071288232,14.8,1,1,0,0,0,1
177,13.8,410.0,32.0,161.0,0.4,9.9,7.955406833849248,17.0,1,0,0,0,0,1
178,10.8,510.0,25.0,157.0,0.47,11.4,8.418692670863187,16.0,1,0,0,0,1,1
179,9.2,340.0,42.0,150.0,0.36,11.5,8.403696358775276,13.8,1,0,0,0,0,1
180,2.8,540.0000000000001,16.0,89.0,0.45,9.5,7.349759533638463,16.8,1,0,0,0,0,1
181,1.6,490.0,10.0,164.0,0.51,9.7,7.427619202970581,13.0,0,0,0,1,0,1
182,8.5,480.0,10.0,147.0,0.46,9.5,7.30730495981113,13.8,1,0,0,0,1,1
183,8.2,420.0,41.0,180.0,0.49,9.1,7.481126530960593,14.4,1,0,0,0,0,1
184,7.8,400.0,48.0,184.0,0.5,9.4,7.424010723718249,14.2,1,0,0,0,0,1
185,14.9,600.0,37.0,162.0,0.45,9.0,6.830016862528929,12.8,0,0,0,1,0,1
186,1.7,470.0,16.0,100.0,0.45,10.6,7.504500615524333,14.8,1,0,0,0,0,1
187,7.7,480.0,45.0,186.0,0.47,9.0,7.189630887903205,12.6,1,0,0,0,0,1
188,17.3,600.0,46.0,235.0,0.61,8.8,7.003546713544857,18.4,0,0,0,1,0,1
189,1.4,390.0,24.0,128.0,0.68,10.4,7.773381130958924,14.2,1,1,0,0,0,1
190,1.4,1570.0,34.0,132.0,0.53,9.0,7.587212975296945,14.4,0,0,0,1,0,1
191,15.7,559.9999999999999,49.0,159.0,0.48,9.0,7.425462561101844,13.8,0,0,0,1,0,1
192,1.3,330.0,25.0,91.0,0.39,10.6,7.928699175012059,14.8,1,1,0,0,0,1
193,1.3,1480.0000000000002,45.0,149.0,0.56,8.7,6.753557230669549,14.2,1,0,0,0,1,1
194,1.3,470.0,20.0,77.0,0.54,10.2,7.535614374766014,12.8,1,1,0,0,0,1
195,1.3,460.0,18.0,66.0,0.55,10.3,7.418216764766915,12.6,1,1,0,0,0,1
196,15.6,490.0,67.0,210.0,0.68,9.5,7.183332832260179,14.8,0,0,0,1,0,1
197,15.6,490.0,67.0,210.0,0.68,9.5,7.183332832260179,14.8,0,0,0,1,0,1
198,6.5,370.00000000000006,26.0,97.0,0.58,12.6,9.215386886762488,14.6,1,0,0,0,1,1
199,2.7,470.0,38.0,150.0,0.56,10.8,8.05756796057493,17.2,1,1,0,0,0,1
200,10.6,420.0,66.0,202.0,0.53,9.5,7.655461200450456,13.0,1,0,0,0,0,1
201,3.5,270.00000000000006,23.0,109.0,0.54,12.8,8.988207366788483,12.6,1,0,0,0,1,1
202,2.3,430.0,28.0,125.0,0.44,12.6,8.936096733777736,14.6,0,0,0,1,0,1
203,1.4,600.0,15.0,168.0,0.4,9.4,6.759670683742646,15.0,1,0,0,0,1,1
204,5.0,400.0,40.0,143.0,0.42,12.2,8.541175177625309,14.0,0,0,0,1,0,1
205,14.6,530.0,34.0,159.0,0.44,9.2,7.594073930092738,13.6,1,0,0,0,0,1
206,10.6,450.0,51.0,153.0,0.44,8.8,7.357767715957641,15.0,1,0,0,0,0,1
207,9.8,670.0,61.0,180.0,0.57,9.0,7.29412024694751,13.0,1,0,0,0,0,1
208,13.3,480.0,46.0,212.0,0.59,10.0,8.513162188925604,15.8,0,0,0,1,0,1
209,1.7,350.00000000000006,39.0,144.0,0.5,10.5,8.175940248358021,13.0,1,1,0,0,0,1
210,12.6,530.0,44.0,182.0,0.42,9.7,7.475112783846219,13.4,1,0,0,0,0,1
211,7.2,990.0,47.0,202.0,0.43,9.2,7.010574246457751,12.4,1,0,0,0,1,1
212,3.0,360.00000000000006,5.0,85.0,0.4,11.5,5.958758427887671,12.0,0,0,0,1,0,1
213,1.5,910.0,42.0,135.0,0.49,9.6,7.679298622981884,12.8,1,1,0,0,0,1
214,17.75,470.0,25.0,218.0,0.66,9.1,7.530567922701279,16.8,0,0,0,1,0,1
215,2.0,470.0,16.0,104.0,0.66,10.0,7.179348417789313,18.4,1,1,0,0,0,1
216,2.0,440.00000000000006,18.0,107.0,0.53,10.2,7.276254134507471,18.4,1,1,0,0,0,1
217,8.2,380.0,72.0,202.0,0.56,10.0,8.042476974706608,16.0,1,0,0,0,0,1
218,19.35,700.0000000000001,67.0,207.0,0.53,9.1,7.074812878201882,12.2,0,0,0,1,0,1
219,7.7,960.0,28.0,210.0,0.72,9.2,5.91019790874155,12.4,1,0,0,0,1,1
220,7.7,960.0,28.0,210.0,0.72,9.2,5.91019790874155,12.4,1,0,0,0,1,1
221,8.3,420.0,61.0,195.0,0.46,9.4,7.213833809510283,12.8,1,0,0,0,0,1
222,8.4,440.00000000000006,60.0,198.0,0.47,9.4,7.192359681607459,12.8,1,0,0,0,0,1
223,17.5,450.0,48.0,253.0,0.56,9.1,7.4156629855195835,16.6,1,0,0,0,0,1
224,5.6,340.0,9.0,148.0,0.5,9.8,7.573061543737801,12.8,0,0,0,1,0,1
225,2.6,510.0,40.5,210.0,0.61,10.0,7.355145018890944,13.2,0,0,0,1,0,1
226,8.2,420.0,21.0,133.0,0.64,9.8,7.458956646442172,13.0,1,0,0,0,0,1
227,10.0,370.00000000000006,38.0,157.0,0.52,9.4,7.43548166372752,13.2,0,0,0,1,1,1
228,7.4,370.00000000000006,36.0,156.0,0.54,10.6,8.155699213856977,16.2,0,0,0,1,0,1
229,10.3,320.0,12.0,97.0,0.4,10.7,7.74795251959789,17.6,1,0,0,0,0,1
230,15.55,430.0,20.0,142.0,0.54,10.1,7.549487323198249,12.0,1,0,0,0,0,1
231,5.3,750.0,49.0,201.0,0.43,9.5,7.0333199445443855,12.0,1,0,0,0,0,1
232,12.7,540.0000000000001,20.0,139.0,0.5,9.7,7.242275548119915,15.2,0,0,0,1,0,1
233,18.1,460.0,32.0,133.0,0.48,8.8,7.126205289392605,13.6,1,0,0,0,0,1
234,6.4,390.0,39.0,191.0,0.52,9.8,7.698718092445774,12.8,0,0,0,1,0,1
235,5.2,320.0,36.0,140.0,0.47,12.3,8.765668322550354,14.2,0,0,0,1,0,1
236,4.7,290.0,34.0,148.0,0.49,12.3,8.831999268664942,13.8,0,0,0,1,0,1
237,11.3,340.0,61.0,224.0,0.56,9.5,7.489932373721036,14.6,0,0,0,1,1,1
238,1.4,290.0,35.0,138.0,0.6,11.5,8.457349285430189,13.0,1,1,0,0,0,1
239,1.7,430.0,19.0,95.0,0.46,10.7,7.920013045261317,13.6,1,0,0,0,0,1
240,8.6,320.0,30.0,142.0,0.44,9.5,7.731992539338955,11.8,1,0,0,0,0,1
241,12.1,300.0,34.0,177.0,0.47,10.6,7.295406961120204,18.0,1,0,0,0,0,1
242,17.3,460.0,15.0,110.0,0.42,9.2,7.920225911786778,13.0,1,0,0,0,0,1
243,4.8,520.0,27.0,128.0,0.48,9.4,7.564117077618946,12.4,0,0,0,1,0,1
244,12.9,330.0,54.0,170.0,0.53,8.8,7.460460109752598,15.2,1,0,0,0,0,1
245,14.9,480.0,59.0,240.0,0.45,8.9,7.932270518886393,14.6,0,0,0,1,0,1
246,7.0,430.0,60.0,207.0,0.49,9.6,7.579040481278497,13.6,1,0,0,0,0,1
247,8.6,340.0,25.0,135.0,0.59,10.3,7.933219369790978,13.2,1,0,0,0,0,1
248,10.4,380.0,85.0,182.0,0.44,8.9,7.083673308759074,13.4,1,1,0,0,0,1
249,10.0,390.0,74.0,227.0,0.5,9.4,7.712182664455486,13.0,1,0,0,0,0,1
250,18.95,530.0,36.0,174.0,0.5,10.4,7.974899033996357,15.4,0,0,0,1,0,1
251,12.8,620.0,19.0,171.0,0.52,9.0,8.694111689503888,13.6,1,1,0,0,0,1
252,1.4,680.0,25.0,154.0,0.48,9.7,7.10430291779811,14.4,1,1,0,0,1,1
253,8.2,240.0,53.0,209.0,0.46,10.8,8.541500563652988,15.0,1,0,0,0,0,1
254,11.1,530.0,44.0,177.0,0.67,9.4,7.322498307575833,12.6,1,0,0,0,0,1
255,14.2,390.0,47.0,129.0,0.72,10.3,8.775149087191533,13.0,1,1,0,0,0,1
256,20.4,410.0,40.0,144.0,0.38,8.7,7.002818468710084,13.0,1,0,0,0,0,1
257,10.1,500.0,29.0,140.0,0.4,9.4,7.432367373825468,13.2,0,0,0,1,0,1
258,1.3,440.00000000000006,72.0,197.0,0.43,10.9,7.374033623874845,11.6,1,1,0,0,1,1
259,1.2,460.0,9.0,71.0,0.68,10.9,7.42130868259105,11.4,1,1,0,0,0,1
260,2.3,180.00000000000003,45.0,80.0,0.34,12.9,9.020818077867629,14.6,1,0,0,0,0,1
261,5.95,810.0,76.0,303.0,0.57,9.4,6.598622980652483,13.8,1,0,0,0,1,1
262,6.6,670.0,35.0,156.0,0.48,9.3,7.304470842156783,13.4,0,0,0,1,0,1
263,6.6,300.0,36.0,91.0,0.45,12.5,8.494593840131982,12.4,1,0,0,0,0,1
264,1.6,360.00000000000006,28.0,143.0,0.54,10.3,7.944076253846591,13.4,1,0,0,0,0,1
265,1.2,240.0,20.0,166.0,0.54,9.8,7.632908306674901,13.8,0,0,0,1,0,1
266,16.3,380.0,43.0,133.0,0.41,8.8,7.3132910763025745,13.0,1,0,0,0,0,1
267,13.7,440.00000000000006,66.0,184.0,0.75,8.9,7.23284881702888,15.6,1,0,0,0,0,1
268,1.1,279.99999999999994,18.0,69.0,0.54,10.0,7.85735307473921,10.4,1,0,0,0,0,1
269,6.5,290.0,53.0,160.0,0.38,10.9,8.184614138243433,15.0,1,1,0,0,0,1
270,5.2,300.0,32.0,101.0,0.62,12.3,8.518240571838556,15.2,1,0,0,0,1,1
271,16.4,450.0,62.0,153.0,0.42,10.5,7.7880014539805975,13.8,1,0,0,0,0,1
